District,Major_Soil_Type,pH
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.3
Palakkad,Black Soil / Laterite / Alluvium,6.4
Palakkad,Black Soil / Laterite / Alluvium,6.5
Palakkad,Black Soil / Laterite / Alluvium,6.4
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.2
Pathanamthitta,Laterite / Forest Loam,5.3
Pathanamthitta,Laterite / Forest Loam,5.4
Pathanamthitta,Laterite / Forest Loam,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.3
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thiruvananthapuram,Laterite / Coastal Alluvium,5.5
Thiruvananthapuram,Laterite / Coastal Alluvium,5.4
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.6
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Thrissur,Laterite / Alluvium / Acid Saline,5.8
Thrissur,Laterite / Alluvium / Acid Saline,5.7
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.7
Wayanad,Forest Loam / Laterite,5.8
Wayanad,Forest Loam / Laterite,5.9
Wayanad,Forest Loam / Laterite,5.8
